search_label,property_type,price,deposit,monthly_rent,address,floor,size,description,link,photo
부산시 빌라주택,빌라/주택,"월세 2,000/80","2,000만원",80만원,수영구 광안동,고층,56.93m2,"실매물, 광인해수욕장 5분거리 방3개 거실1개 도배,장판교체",https://www.peterpanz.com/house/19270254,https://img.peterpanz.com/photo/20260331/19111134/69cb6848345d4_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 2,000/61","2,000만원",61만원,사하구 당리동,2층,46.22m2,넓은3룸ㅣ6월ㅣ가성비,https://www.peterpanz.com/house/19164713,https://img.peterpanz.com/photo/20260309/18998826/69aeb6484d381_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 1,000/65","1,000만원",65만원,남구 문현동,1층,59.21m2,방3개+거실1개 가성비 좋은빌라 단기는 문의,https://www.peterpanz.com/house/19279143,https://img.peterpanz.com/photo/20260503/19279143/69f6d98a98984_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 1,000/65","1,000만원",65만원,남구 대연동,3층,83.05m2,"실매물 , 넓은빌라 방3개 거실1개 욕실1개 즉시입주가능",https://www.peterpanz.com/house/19221780,https://img.peterpanz.com/photo/20260421/19221780/69e718c0442ca_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 2,000/32","2,000만원",32만원,연제구 연산동,2층,41.94m2,복층 낭만에 대하여 가성비 복층 단독 옥상사용 가능!,https://www.peterpanz.com/house/19271451,https://img.peterpanz.com/photo/20251120/18457106/691edf74c4e0d_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 1억 2,000/50","1억 2,000만원",50만원,수영구 광안동,고층,66.04m2,`* 포룸 수리되어 깔끔한 호실 l 채광좋음,https://www.peterpanz.com/house/19287287,https://img.peterpanz.com/photo/20260505/19287287/69f96a1e783c6_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 1,000/45","1,000만원",45만원,남구 대연동,2층,33.49m2,대연동 쓰리룸! 주택의 로망! 인테리어 마음대로 하고싶은 사람 손!,https://www.peterpanz.com/house/19178446,https://img.peterpanz.com/photo/20250825/17984203/68abe27f9ad03_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 2,000/50","2,000만원",50만원,사상구 주례동,2층,76.96m2,"귀한 탑층 독채 상가주택 넓은 평수 거실,방5,화1,",https://www.peterpanz.com/house/19246729,https://img.peterpanz.com/photo/20260323/19063973/69c00ecc614c2_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 2,000/60","2,000만원",60만원,사상구 괘법동,중층,56.05m2,"+ 방3개,화장실2개 + 귀한매물 + 즉시입주가능 +",https://www.peterpanz.com/house/19178583,https://img.peterpanz.com/photo/20260413/19178583/69dc524e10264_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 2,000/75","2,000만원",75만원,수영구 광안동,4층,37.97m2,광안동초역세권 풀옵션 채광 좋고 넓은 쓰리룸!!,https://www.peterpanz.com/house/19220788,https://img.peterpanz.com/photo/20260421/19220788/69e6ffa80952a_thumb.jpg
부산시 빌라주택,빌라/주택,월세 500/20,500만원,20만원,서구 남부민동,3층,52.90m2,버스정류장 가까움,https://www.peterpanz.com/house/19278445,https://img.peterpanz.com/photo/20260331/19112507/94f8d5f149cbae1a5c5ec7bd174a84f7_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 2,000/50","2,000만원",50만원,사하구 괴정동,3층,36.37m2,ꯁ 3개월 월세무료ㅣ 방3ㅣ보건대 인근 리모델링 ꯁ,https://www.peterpanz.com/house/19192614,https://img.peterpanz.com/photo/20260415/19192614/69df1b370a407_thumb.jpg
부산시 빌라주택,빌라/주택,월세 500/70,500만원,70만원,동래구 안락동,2층,40.76m2,"방3개. 거실. 풀옵션 가능,",https://www.peterpanz.com/house/19279417,https://img.peterpanz.com/photo/20250821/17961897/68a668b56096f_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 5,000/45","5,000만원",45만원,사하구 하단동,1층,76.65m2,"I 방3, 거실, 화장실, 베란다 I 마당있는 집 I",https://www.peterpanz.com/house/19285443,https://img.peterpanz.com/photo/20260331/19112187/69cb85dc867ac_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 2,500/55","2,500만원",55만원,부산진구 범천동,4층,45.69m2,"범일역5분거리,전망 탁 트임.도시가스 사용, 올 수리 완료",https://www.peterpanz.com/house/19155053,https://img.peterpanz.com/photo/20250911/18085648/68c286d15d097_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 2,000/150","2,000만원",150만원,해운대구 중동,2층,118.36m2,방4 화장실2 : 풀옵션 채광좋음 단기 별도 문의,https://www.peterpanz.com/house/19104767,https://img.peterpanz.com/photo/20260330/19104767/69ca16ce81a36_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 1,000/55","1,000만원",55만원,동구 수정동,1층,47.36m2,"실매물, 룸3+거실1포룸,화2, 가성비좋은집, 인기많은집",https://www.peterpanz.com/house/19181421,https://img.peterpanz.com/photo/20260413/19181341/69dc83144f7b4_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 5,000/25","5,000만원",25만원,사상구 모라동,3층,26.60m2,모라역 꿀매물 방2 거실1 모라역도보3분거리,https://www.peterpanz.com/house/19152501,https://img.peterpanz.com/photo/20250316/17144019/9e7d7004815acb17047ff749bb9ec59e_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 2,000/80","2,000만원",80만원,수영구 수영동,고층,27.84m2,화이트톤 쓰리룸 인기매물 애완동물 가능 역세권 채광 최고,https://www.peterpanz.com/house/19253260,https://img.peterpanz.com/photo/20230227/13931773/63fc74aeedbd4_thumb.jpg
부산시 빌라주택,빌라/주택,단기 30/128,,,동구 좌천동,1층,92.57m2,부산진역 도보 5분 방3 가성비 숙소,https://www.peterpanz.com/house/18871864,https://img.peterpanz.com/photo/20250904/18041688/f48316ad7df474c1cd7c671b0d9542ef_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 3,000/65","3,000만원",65만원,수영구 민락동,저층,61.49m2,앞마당+방3 거실1+4인가족 추천+즉시입주 가능,https://www.peterpanz.com/house/19176226,https://img.peterpanz.com/photo/20260410/19169772/69d8acbd612cd_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 5,000/50","5,000만원",50만원,연제구 연산동,중층,60.71m2,근저당X 방3 거실1 귀한월세,https://www.peterpanz.com/house/19167743,https://img.peterpanz.com/photo/20260313/19021589/69b390a07c1bf_thumb.jpg
부산시 빌라주택,빌라/주택,월세 500/60,500만원,60만원,수영구 수영동,2층,57.59m2,수영역 저렴한 주택,https://www.peterpanz.com/house/19211381,https://img.peterpanz.com/photo/20260321/19060219/69be00ea37e0c_thumb.jpg
부산시 빌라주택,빌라/주택,월세 1억 /40,1억만원,40만원,남구 대연동,4층,46.22m2,거실+3 룸 넓고 채광좋은집 공원 가까운집,https://www.peterpanz.com/house/19262427,https://img.peterpanz.com/photo/20260429/19262427/69f1966ef13e5_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 1,000/40","1,000만원",40만원,북구 덕천동,2층,56.04m2,방3거실1 l 단독세대 l 반려동물ok,https://www.peterpanz.com/house/19250647,https://img.peterpanz.com/photo/20260327/19093281/69c62acc14451_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 2,000/40","2,000만원",40만원,수영구 광안동,1층,60m2,"광안동, 상아아파트 아래쪽 위치, 주택 월세, 즉시입주가능",https://www.peterpanz.com/house/19187389,https://img.peterpanz.com/photo/20260414/19187389/69ddd5ee84bf9_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 1,000/60","1,000만원",60만원,사상구 감전동,고층,59.51m2,"ll방3개,거실1개ll 주택개조 귀한매물 즉시입주 보증금조절가능",https://www.peterpanz.com/house/19272121,https://img.peterpanz.com/photo/20260501/19272121/69f447e957bad_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 2,000/50","2,000만원",50만원,수영구 광안동,4층,58m2,광안동관리비없음! 초가성비 리모델링 주택 쓰리룸,https://www.peterpanz.com/house/19193519,https://img.peterpanz.com/photo/20260415/19193519/69df33cee5cb7_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 1,000/42","1,000만원",42만원,사하구 괴정동,1층,42m2,괴정1동주민센타주위 대로변서2분이내 평지 에어커 붙받이 주차시 3만추,https://www.peterpanz.com/house/19224746,https://img.peterpanz.com/photo/20260420/19215678/69e5be6a1a939_thumb.jpg
부산시 빌라주택,빌라/주택,월세 500/40,500만원,40만원,북구 덕천동,1층,80m2,"숙등역7분거리 주택1층 방3개, 거실, 마당 있는집",https://www.peterpanz.com/house/19289414,https://img.peterpanz.com/photo/20260505/19287646/69f97e89d35b8_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 2,000/50","2,000만원",50만원,사하구 하단동,2층,85.96m2,<하단동> 상가주택 방3 화장실1 깨끗하고 넓은방 200050 주인직거래,https://www.peterpanz.com/house/19181003,https://img.peterpanz.com/photo/20260413/19181003/20d0ba9f47a940d1313dcb1b844d8846_thumb.jpg
부산시 빌라주택,빌라/주택,월세 150/110,150만원,110만원,연제구 거제동,3층,61.83m2,선착순구해줘 그집!화이트톤방3화장실2단기매물,https://www.peterpanz.com/house/19211967,https://img.peterpanz.com/photo/20260316/19031143/69b6d28978c2b_thumb.jpg
부산시 빌라주택,빌라/주택,월세 500/20,500만원,20만원,부산진구 전포동,중층,41.19m2,"방3,주방,화1,저렴한월세,도시가스",https://www.peterpanz.com/house/19124938,https://img.peterpanz.com/photo/20260301/18951575/69a3250d43d65_thumb.jpg
부산시 빌라주택,빌라/주택,단기 150/100,,,연제구 거제동,중층,61.83m2,방3 거실1전입가능한 귀한 4룸 단기!!,https://www.peterpanz.com/house/19297993,https://img.peterpanz.com/photo/20251023/18299796/68f9f870d2acd_thumb.jpg
부산시 빌라주택,빌라/주택,월세 150/110,150만원,110만원,연제구 거제동,고층,61.83m2,신축 방3화2 단기가능,https://www.peterpanz.com/house/19285860,https://img.peterpanz.com/photo/20260320/19056983/69bcda2d16594_thumb.jpg
부산시 빌라주택,빌라/주택,월세 300/30,300만원,30만원,해운대구 반여동,1층,37.68m2,반여동 방3 거실1 화장실1,https://www.peterpanz.com/house/19179419,https://img.peterpanz.com/photo/20260222/18916784/699a87366f6db_thumb.jpg
부산시 빌라주택,빌라/주택,월세 500/56,500만원,56만원,영도구 동삼동,2층,47.40m2,방3.거실1.름메이트 2~3명 쓰기좋아요,https://www.peterpanz.com/house/19246464,https://img.peterpanz.com/photo/20250812/17913498/689ac9aac077e_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 2,000/40","2,000만원",40만원,북구 만덕동,1층,74.44m2,만덕동 l 1층독채 l 방3거실1 l 가성비,https://www.peterpanz.com/house/19168440,https://img.peterpanz.com/photo/20260309/18998156/69ae964e83ad2_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 1,000/60","1,000만원",60만원,해운대구 중동,3층,69.43m2,부산 해운대 달맞이 고개 빌라 100060,https://www.peterpanz.com/house/19149623,https://img.peterpanz.com/photo/20260407/19149623/e87613ce6bd95b62b100d7846a73c23c_thumb.jpg
부산시 빌라주택,빌라/주택,월세 150/110,150만원,110만원,연제구 거제동,5층,61.83m2,"전호실 보유즉시입주방3, 화2, 에어컨3, 단기가능",https://www.peterpanz.com/house/19260926,https://img.peterpanz.com/photo/20251011/18230143/68ea1754cfded_thumb.jpg
부산시 빌라주택,빌라/주택,"월세 5,000/10","5,000만원",10만원,동래구 온천동,1층,68m2,반전세5000에10,https://www.peterpanz.com/house/19297775,https://img.peterpanz.com/photo/20260507/19297775/512348614b41534a8858702837e2540a_thumb.jpg
부산시 빌라주택,빌라/주택,월세 500/35,500만원,35만원,북구 구포동,2층,57.60m2,방3거실1 l 초초특가 l 샤시교체예정 l 인기매물,https://www.peterpanz.com/house/19269665,https://img.peterpanz.com/photo/20260430/19269665/69f32849f2137_thumb.jpg
